ring_id,datetime_trunc,year,reporting_type,dt,time,layer_1_vout,layer_1_concentration,layer_1_setpoint,layer_2_vout,layer_2_concentration,layer_2_setpoint,wind_speed,wind_direction,sector,O3_on,leaf_wetness,file_source,number_of_records,datetime,Range_flag,evaluator,replacement_value,explanation
0,7/26/2019 4:05,2019,M,7/26/2019,4:05:19,0,1005,600,0,0,0,0,75,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:05,layer_1_concentration,YF,1005,real high values at night
0,7/26/2019 4:06,2019,M,7/26/2019,4:06:19,0,1050,600,0,0,0,0,75,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:06,layer_1_concentration,YF,1050,real high values at night
0,7/26/2019 4:07,2019,M,7/26/2019,4:07:19,0,1045,600,0,0,0,0,75,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:07,layer_1_concentration,YF,1045,real high values at night
0,7/26/2019 4:08,2019,M,7/26/2019,4:08:19,0,1034,600,0,0,0,0,75,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:08,layer_1_concentration,YF,1034,real high values at night
0,7/26/2019 4:09,2019,M,7/26/2019,4:09:19,0,1128,600,0,0,0,0,75,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:09,layer_1_concentration,YF,1128,real high values at night
0,7/26/2019 4:10,2019,M,7/26/2019,4:10:19,0,1148,600,0,0,0,0,75,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:10,layer_1_concentration,YF,1148,real high values at night
0,7/26/2019 4:11,2019,M,7/26/2019,4:11:19,0,1206,600,0,0,0,0,75,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:11,layer_1_concentration,YF,1206,real high values at night
0,7/26/2019 4:12,2019,M,7/26/2019,4:12:19,0,1152,600,0,0,0,0,85,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:12,layer_1_concentration,YF,1152,real high values at night
0,7/26/2019 4:13,2019,M,7/26/2019,4:13:19,0,1056,600,0,0,0,0,85,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:13,layer_1_concentration,YF,1056,real high values at night
0,7/26/2019 4:14,2019,M,7/26/2019,4:14:19,0,1027,600,0,0,0,0,88,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 4:14,layer_1_concentration,YF,1027,real high values at night
